name,regular,character,kind,subject,fault,fault_family,drink_wish,arrived_s,left_s,in_shop_s,repair_s,accepted,served,outcome,grade,patience_at_exit,wait_kind,base_pay,tip
"Nina",no,"WatchOwner","Drink","Latte",,,,7.1,33.3,26.2,15.3,yes,yes,"Served",,1.0,"Seat",6,4
"Ingrid",no,"PhoneOwner","Drink","Coffee",,,,22.1,52.7,30.6,16.5,yes,yes,"Served",,1.0,"Seat",3,1
"Ingrid",no,"WatchOwner","Repair","Phone","Cracked Screen","Mechanical",,37.1,90.5,53.5,32.6,yes,yes,"Served","Perfect",0.8,"Seat",44,26
"Yuki",no,"PhoneOwner","Drink","Coffee",,,,52.1,110.5,58.4,47.8,yes,yes,"Served",,0.5,"Seat",3,1
"Alishba",no,"WatchOwner","Drink","Latte",,,,112.1,176.0,63.9,,no,no,"StormedOutInQueue",,0.0,,0,0
"Beatriz",no,"WatchOwner","Repair","Phone","Cracked Screen","Mechanical",,127.1,190.5,63.4,,no,no,"StormedOutInQueue",,0.0,,0,0
"Walter",no,"WatchOwner","Repair","Phone","Cracked Screen","Mechanical","Coffee",82.1,192.9,110.8,77.9,yes,yes,"Served","Perfect",0.5,"Seat",47,29
"Deshawn",no,"Radio Owner","Repair","Pocket Watch","Debris Inside, Won't Tell Time","Mechanical","Coffee",142.1,193.3,51.2,,no,no,"StormedOutInQueue",,0.0,,0,0
"Ingrid",no,"PhoneOwner","Repair","Phone","Cracked Screen","Mechanical","Coffee",67.1,199.7,132.6,99.6,yes,yes,"StormedOutWaiting","Perfect",0.0,"Seat",44,7
"Nina",no,"PhoneOwner","Drink","Latte",,,,97.1,224.5,127.4,105.0,yes,no,"StormedOutWaiting",,0.0,"Seat",0,0
