name,regular,character,kind,subject,fault,fault_family,drink_wish,arrived_s,left_s,in_shop_s,repair_s,accepted,served,outcome,grade,patience_at_exit,wait_kind,base_pay,tip
"Valerie",no,"PhoneOwner","Drink","Coffee",,,,37.3,63.2,25.9,,no,no,"StormedOutInQueue",,0.0,,0,0
"Grace",no,"WatchOwner","Repair","Pocket Watch","Debris Inside, Won't Tell Time","Mechanical",,13.3,77.0,63.7,49.4,yes,yes,"Served","Perfect",1.0,"Seat",38,17
"Valerie",no,"WatchOwner","Drink","Latte",,,,19.3,85.6,66.3,53.1,yes,yes,"Served",,1.0,"Seat",6,3
"Grace",no,"Radio Owner","Drink","Coffee",,,,31.3,101.7,70.3,59.2,yes,yes,"Served",,1.0,"Seat",3,0
"Alishba",no,"WatchOwner","Repair","Pocket Watch","Debris Inside, Won't Tell Time","Mechanical","Latte",73.3,106.6,33.3,,no,no,"StormedOutInQueue",,0.0,,0,0
"Yuki",no,"PhoneOwner","Drink","Latte",,,,85.3,110.2,24.9,,no,no,"StormedOutInQueue",,0.0,,0,0
"Yuki",no,"Radio Owner","Drink","Latte",,,,97.4,127.2,29.8,,no,no,"StormedOutInQueue",,0.0,,0,0
"Mansoor",no,"Radio Owner","Repair","Pocket Watch","Debris Inside, Won't Tell Time","Mechanical","Latte",109.4,137.6,28.3,,no,no,"StormedOutInQueue",,0.0,,0,0
"Nina",no,"WatchOwner","Drink","Coffee",,,,25.3,139.8,114.4,102.0,yes,no,"StormedOutWaiting",,0.0,"Seat",0,0
"Tomas",no,"WatchOwner","Drink","Coffee",,,,115.4,152.9,37.5,17.4,yes,yes,"Served",,1.0,"Seat",3,2
"Grace",no,"WatchOwner","Drink","Latte",,,,7.3,153.7,146.4,131.2,yes,no,"StormedOutWaiting",,0.0,"Seat",0,0
"Priya",no,"PhoneOwner","Drink","Coffee",,,,127.4,153.8,26.4,,no,no,"StormedOutInQueue",,0.0,,0,0
"Walter",no,"PhoneOwner","Repair","Phone","Cracked Screen","Mechanical",,154.4,171.7,17.3,,no,no,"ShelfFull",,0.7,,0,0
"Alishba",no,"WatchOwner","Repair","Phone","Cracked Screen","Mechanical","Latte",161.9,193.5,31.6,,no,no,"StormedOutInQueue",,0.0,,0,0
"Grace",no,"WatchOwner","Repair","Pocket Watch","Debris Inside, Won't Tell Time","Mechanical",,167.9,199.3,31.3,,no,no,"StormedOutInQueue",,0.0,,0,0
"Alishba",no,"PhoneOwner","Drink","Coffee",,,,173.9,201.3,27.4,,no,no,"StormedOutInQueue",,0.0,,0,0
"Ali",no,"WatchOwner","Repair","Phone","Cracked Screen","Mechanical","Coffee",139.4,223.5,84.1,60.4,yes,yes,"Served","Perfect",1.0,"Seat",47,32
"Walter",no,"WatchOwner","Repair","Phone","Cracked Screen","Mechanical","Coffee",145.4,255.0,109.6,96.3,yes,yes,"Served","Perfect",1.0,"Seat",47,24
