name,regular,character,kind,subject,fault,fault_family,drink_wish,arrived_s,left_s,in_shop_s,repair_s,accepted,served,outcome,grade,patience_at_exit,wait_kind,base_pay,tip
"Saamin",no,"Sentimental","Drink","Coffee",,,,7.0,34.1,27.1,13.6,yes,yes,"Served",,1.0,"Seat",3,2
"Ingrid",no,"Sentimental","Repair","Pocket Watch","Debris Inside, Won't Tell Time","Cleaning",,25.0,68.9,43.8,29.0,yes,yes,"Served","Perfect",0.8,"Seat",94,54
"Yuki",no,"Sentimental","Repair","Phone","Cracked Screen","Mechanical",,67.0,119.7,52.6,,no,no,"StormedOutInQueue",,0.0,,0,0
"Deshawn",no,"Sentimental","Repair","Pocket Watch","Debris Inside, Won't Tell Time","Cleaning","Latte",43.0,136.7,93.7,64.1,yes,yes,"Served","Perfect",0.6,"Seat",100,53
"Omar",no,"Impatient","Repair","Pocket Watch","Seized Movement","Mechanical",,86.1,155.4,69.3,33.4,yes,no,"StormedOutWaiting",,0.0,"Loiter",0,0
"Yuki",no,"Rushed","Repair","Phone","Gunked Up, Won't Charge","Cleaning",,127.1,161.6,34.5,,no,no,"StormedOutInQueue",,0.0,,0,0
"Omar",no,"Sentimental","Repair","Phone","Cracked Screen","Mechanical","Coffee",55.0,166.8,111.8,89.3,yes,yes,"Served","Perfect",0.2,"Seat",141,10
"Malcom",no,"Cheerful","Drink","Latte",,,,120.1,174.6,54.5,,no,no,"OutOfStock",,0.2,,0,0
"Priya",no,"Sentimental","Repair","Pocket Watch","Debris Inside, Won't Tell Time","Cleaning",,79.0,203.9,124.9,77.5,yes,yes,"Served","Perfect",0.1,"Seat",94,6
"Malcom",no,"Cheerful","Drink","Coffee",,,,157.1,215.1,58.0,,no,no,"OutOfStock",,0.1,,0,0
"Ali",no,"Cheerful","Repair","Pocket Watch","Seized Movement","Mechanical","Latte",173.1,338.2,165.0,130.2,yes,yes,"StormedOutWaiting","Perfect",0.0,"Seat",200,68
